method	n_requested	n_valid	lambda_df	lambda_gc	lambda_gc_excluding_p_lt_0.01	top_marker	top_pos	top_p	top_p_bonferroni_adj	top_p_fdr_bh	n_bonferroni_significant	bonferroni_alpha	n_fdr_bh_significant	fdr_bh_alpha	fdr_bh_raw_p_threshold
mixfunmap	24182	23730	3.0	0.7291554262157113	0.696785858049537	SNP_15986_pos_1760548	1760548	5.12035645491646e-08	0.0012382045979279	0.0012382045979279	7	2.06765362666446e-06	12	0.05	1.93425436480641e-05
ordinary_funmap	24182	24182	3.0	5.06390606920759	1.98269885270246	SNP_03617_pos_250761	250761	6.67600346841077e-42	1.61439115873109e-37	1.61439115873109e-37	5528	2.06765362666446e-06	14139	0.05	0.0292324482825714
minp	24182	24182	NA	NA	NA	SNP_07031_pos_448489	448489	1.3045522e-07	0.00315466813004	0.002966696124	7	2.06765362666446e-06	27	0.05	5.369084e-05
