date	day	observed_mean	fitted_lop	residual
2015-11-09	0	0.033349357132803	-0.00238629684007788	0.0357356539728808
2015-11-12	3	0.0219181694502939	0.026771722695612	-0.00485355324531803
2015-11-16	7	0.0614074930694282	0.061208045656121	0.000199447413307234
2015-11-19	10	0.0735723141350265	0.0839633053675957	-0.0103909912325692
2015-11-24	15	0.104801438918719	0.116607059760904	-0.0118056208421848
2015-11-27	18	0.16282847649888	0.133325651754569	0.0295028247443111
2015-12-02	23	0.147305864464577	0.156978890987772	-0.00967302652319527
2015-12-03	24	0.184694370928339	0.161134607571341	0.0235597633569974
2015-12-07	28	0.160658149843496	0.176043273276218	-0.0153851234327229
2015-12-10	31	0.187706267018272	0.185588123930895	0.00211814308737671
2015-12-14	35	0.181426306112581	0.19642050908851	-0.0149942029759289
2015-12-17	38	0.138255712652051	0.20331177128884	-0.0650560586367892
2015-12-23	44	0.167591405613803	0.214516528660437	-0.0469251230466342
2016-01-26	78	0.242035707355711	0.254150358079595	-0.0121146507238845
2016-01-28	80	0.268510153705212	0.25692960819861	0.011580545506602
2016-02-01	84	0.30857068785627	0.263046776594323	0.0455239112619472
2016-02-05	88	0.296084922765676	0.270002638793389	0.0260822839722867
2016-02-15	98	0.367151912726486	0.291647578395403	0.0755043343310837
2016-02-16	99	0.389443860380191	0.294175286808161	0.0952685735720307
2016-02-18	101	0.305464853292956	0.299438451129095	0.00602640216386063
2016-02-22	105	0.317224757290818	0.310807859451801	0.00641689783901778
2016-03-04	116	0.357504779430476	0.347918787935079	0.00958599149539724
2016-03-10	122	0.402171181545195	0.371662484737913	0.0305086968072829
2016-03-14	126	0.366163421531454	0.388757182299152	-0.0225937607676982
2016-03-21	133	0.272526942945847	0.420830518728903	-0.148303575783056
2016-03-23	135	0.358423686571152	0.430435433443454	-0.0720117468723022
2016-03-30	142	0.404810405321152	0.465262857989977	-0.0604524526688245
2016-04-06	149	0.494165874071152	0.501344588157402	-0.00717871408624965
2016-04-08	151	0.4698486328125	0.511752935019718	-0.0419043022072182
2016-04-14	157	0.607409946304967	0.542866980076687	0.0645429662282802
2016-04-19	162	0.607457661085098	0.568251707384645	0.0392059537004523
2016-05-17	190	0.74483407980456	0.675806943180634	0.0690271366239261
2016-05-24	197	0.609897874465595	0.685230408846011	-0.0753325343804163
2016-05-30	203	0.707599453506718	0.684595897677734	0.0230035558289838
2016-06-09	213	0.659932785779723	0.661473118848656	-0.00154033306893286
2016-06-15	219	0.711311663400855	0.631767182523238	0.0795444808776175
2016-07-08	242	0.300793775129784	0.372407809692986	-0.0716140345632016
2016-07-11	245	0.319011079371946	0.317842394868703	0.00116868450324276
2016-07-21	255	0.111846128581789	0.093822570811552	0.0180235577702375
