degree	npar	rmse	r2	logLik	AIC	BIC	selected
2	3	0.111457895114094	0.680970217224967	30.231624091097	-54.4632481821941	-49.4725632438052	FALSE
3	4	0.0825946498797756	0.824808356441983	41.9200017124036	-75.8400034248072	-69.1857568402886	FALSE
4	5	0.048168098317388	0.940416150883314	62.9506723748158	-115.901344749632	-107.583536518983	TRUE
5	6	0.0463961918918283	0.944719211897402	64.4123750871936	-116.824750174387	-106.843380297609	FALSE
6	7	0.0452891995947657	0.947325691295107	65.3541782890047	-116.708356578009	-105.063425055102	FALSE
